date,tavg,tmin,tmax,prcp,snow,wspd,pres
6/18/17,30.6,25.6,37.8,0,0,11.5,1006.9
6/19/17,27.8,24.4,33.3,0.3,0,6.1,1012.2
6/20/17,29.9,24.4,36.7,0,0,8.3,1013.1
6/21/17,29.9,23.9,36.1,0,0,9.4,1009
6/22/17,30.1,24.4,37.2,0,0,7.9,1004.5
6/23/17,32,25.6,40,0,0,11.2,1007
6/24/17,26.9,22.2,29.4,3.6,0,7.6,1015.9
6/25/17,26.9,23.9,32.2,0.5,0,7.9,1019.2
6/26/17,26.3,22.2,32.8,27.2,0,4,1017.5
6/27/17,25.4,21.7,32.8,0.3,0,4.7,
6/28/17,27.2,21.7,33.3,0,0,6.8,1011.9
6/29/17,29.6,23.9,37.2,0,0,9.4,1009.9
6/30/17,30.3,26.1,36.7,0,0,13.3,1011.4
7/1/17,30.5,26.1,36.7,0,0,11.9,1015.5
7/2/17,30.8,25.6,37.8,0,0,9.4,1017.1
7/3/17,30.4,24.4,37.2,0,0,10.8,1015.1
7/4/17,31.1,25.6,38.3,0,0,10.8,1014.1
7/5/17,30.7,25.6,37.2,0,0,9,1015.5
7/6/17,30.3,25,37.8,0,0,6.1,1017.3
7/7/17,29.2,23.9,37.2,0.5,0,4.3,
7/8/17,30.6,23.9,37.8,0,0,5,1016.5
7/9/17,31.3,25,38.3,0,0,6.8,1015.4
7/10/17,30.9,24.4,37.8,0,0,8.3,1014.1
7/11/17,30.8,25,38.3,0,0,11.2,1013.8
7/12/17,30.3,25,38.3,0,0,9.4,1015.2
7/13/17,30.6,25,38.9,0,0,5.4,1017.1
7/14/17,31.3,25,38.3,0,0,6.1,1017.5
7/15/17,28.5,21.7,39.4,4.1,0,4.3,1016.4
7/16/17,27.3,20,37.2,0,0,4.7,1013.5
7/17/17,29.6,25,36.7,0,0,5.4,1012.3
7/18/17,30.3,24.4,37.8,0,0,8.3,1015.1
7/19/17,30.9,25,38.3,0,0,7.6,1017.6
7/20/17,32,25,39.4,0,0,8.3,1016.9
7/21/17,32.2,25,40,0,0,8.3,1014.2
7/22/17,31.9,25,39.4,0,0,9,1012.3
7/23/17,29.6,25,39.4,1,0,5.8,1011.7
7/24/17,28.9,24.4,38.9,0.3,0,5,
7/25/17,31.1,25.6,39.4,0,0,10.8,1016.2
7/26/17,31.4,25.6,39.4,0,0,9,1016.5
7/27/17,31.5,23.9,39.4,0,0,7.6,1014.9
7/28/17,32.2,24.4,40.6,0,0,7.2,1012.4
7/29/17,33.4,25,41.7,0,0,7.2,1011
7/30/17,33,26.1,41.1,0,0,6.1,1012.6
7/31/17,30.8,25,37.2,0,0,6.8,1014.9
8/1/17,30.9,23.9,37.8,0,0,5,1014.4
8/2/17,27.8,25.6,30.6,0,0,5.8,1015
8/3/17,28.5,23.9,35,0.8,0,4.3,1015.7
8/4/17,30.3,24.4,37.2,0,0,3.6,1015.2
8/5/17,31.2,25,38.9,0,0,10.1,1012.8
8/6/17,30.8,25.6,38.3,0,0,11.5,1009.9
8/7/17,24.2,20.6,29.4,61.2,0,2.5,
8/8/17,27.8,22.8,34.4,0,0,6.1,1014.4
8/9/17,29.1,23.3,35.6,0,0,4,1015.4
8/10/17,30.5,23.9,37.8,0,0,6.1,1016.6
8/11/17,31.2,24.4,37.8,0,0,5.8,1015.7
8/12/17,31.5,25.6,37.8,0,0,9.4,1013.2
8/13/17,31.4,25.6,38.3,0,0,9,1011
8/14/17,30.9,25,37.8,0,0,10.1,1009.6
8/15/17,30.7,25,37.2,0,0,11.5,1009.7
8/16/17,31.2,26.7,38.3,0,0,12.2,1011.8
8/17/17,31.8,26.7,38.9,0,0,9.7,1014.2
8/18/17,31.3,25.6,38.3,0,0,7.9,1014.6
8/19/17,31.7,24.4,38.3,0,0,6.8,1014
8/20/17,31.5,24.4,38.3,0,0,8.3,1014
8/21/17,30.7,25.6,37.2,0,0,6.8,1016.5
8/22/17,31,24.4,37.8,0,0,5.8,1015.8
8/23/17,29.2,23.9,37.8,1,0,3.6,1013.4
8/24/17,27.9,24.4,35.6,0.5,0,3.6,1011.2
8/25/17,27.4,24.4,32.2,5.8,0,9.4,1010.7
8/26/17,23.4,22.2,24.4,129,0,22.7,
8/27/17,22.4,21.1,23.3,65.3,0,18.7,
8/28/17,24.2,21.1,30,1.5,0,16.6,1010.1
8/29/17,26.4,21.1,32.2,0,0,12.2,1010.8
8/30/17,27.3,21.1,33.9,0,0,8.3,1011.3
8/31/17,26.7,20,33.9,0,0,5.4,1013.5
9/1/17,27.5,20,34.4,0,0,2.5,1015.1
9/2/17,27.6,20.6,34.4,0,0,3.6,1016
9/3/17,27.4,21.1,33.3,0,0,4.3,1017.3
9/4/17,27.2,21.7,33.3,0,0,3.2,1015.8
9/5/17,28.2,22.2,35.6,0,0,4.3,1014.6
9/6/17,25.9,19.4,30.6,0,0,10.1,1017.8
9/7/17,22.8,13.9,29.4,0,0,4.3,1019.4
9/8/17,23,15,29.4,0,0,5,1018.9
9/9/17,24.2,17.2,30.6,0,0,4.7,1019.1
9/10/17,24.2,18.9,30,0,0,6.1,1019
9/11/17,23.6,16.1,30.6,0,0,5,1017
9/12/17,24.9,17.2,33.9,0,0,5.4,1011.8
9/13/17,25.1,17.2,33.9,0,0,4.7,1008.9
9/14/17,27.8,23.3,34.4,0,0,10.1,1009.3
9/15/17,27.2,22.8,33.3,0,0,9.4,1011.3
9/16/17,28.2,23.9,33.9,0,0,7.6,1013.5
9/17/17,27.5,22.2,33.9,0,0,6.8,1015.1
9/18/17,28.6,23.9,35,0,0,6.8,1013.8
9/19/17,28.7,25,35,0,0,9.4,1011.5
9/20/17,29.3,25,35.6,0,0,10.4,1011.1
9/21/17,28.6,23.9,35.6,0.5,0,9.7,1012.2
9/22/17,26.9,23.9,32.8,0,0,9.4,1012.7
9/23/17,27.1,22.8,32.2,0,0,7.6,1011.8
9/24/17,26.6,23.3,32.2,0,0,9.7,1010.7
9/25/17,26.2,23.3,32.8,0,0,8.6,1010
9/26/17,24.2,21.7,28.3,41.1,0,6.1,
9/27/17,24.9,21.7,29.4,2.3,0,4.7,1013.5
9/28/17,24.8,22.8,28.9,1.5,0,7.9,1015.3
9/29/17,22.7,21.1,24.4,6.1,0,9.4,
9/30/17,23.8,18.9,30.6,0,0,6.5,1018.3
10/1/17,23.8,16.7,31.1,0,0,2.9,1014.1
10/2/17,25.9,20.6,31.7,0,0,6.5,1012.5
10/3/17,25.3,23.3,30.6,16.3,0,6.5,1016.9
10/4/17,26.7,24.4,31.7,0,0,7.2,1020.6
10/5/17,26.2,21.1,31.7,0,0,4.3,1018
10/6/17,25,20,30.6,0,0,4.7,1013.2
10/7/17,25.4,20,31.1,0,0,3.6,1007.7
10/8/17,26.4,20,32.8,0,0,4.7,1005.7
10/9/17,27.4,22.8,33.3,0,0,8.6,1007.3
10/10/17,20.4,15.6,26.1,0.3,0,12.6,1019.5
10/11/17,19.8,13.9,26.7,0,0,4.7,1021.1
10/12/17,23.1,16.1,31.1,0,0,3.2,1017.7
10/13/17,26,20.6,32.2,0,0,4.7,1017.1
10/14/17,27,22.8,32.2,0,0,5.4,1016.2
10/15/17,23.3,17.2,26.1,0,0,9.7,1020.1
10/16/17,18.3,12.2,25,0,0,7.9,1026
10/17/17,17.2,10,26.1,0,0,2.2,1023.8
10/18/17,18.2,9.4,28.3,0,0,3.2,1020.4
10/19/17,21.3,13.9,28.9,0,0,5.4,1018.9
10/20/17,22.6,18.9,28.9,1,0,4.3,1015.3
10/21/17,26.1,22.2,31.7,0,0,9.4,1011.7
10/22/17,22.2,12.8,26.7,17.5,0,7.9,1018.1
10/23/17,18.4,10,27.8,0,0,2.9,1020.1
10/24/17,19.7,12.2,26.1,0,0,10.1,1025.4
10/25/17,17.7,10.6,27.2,0,0,5.4,1022.6
10/26/17,19.3,10,28.3,0,0,7.6,1011.5
10/27/17,14.5,7.8,18.9,0,0,14.4,1016.2
10/28/17,10.1,3.9,17.8,0,0,7.2,1022.5
10/29/17,13.3,3.9,24.4,0,0,4,1018
10/30/17,17.2,8.9,26.7,0,0,4.7,1014.1
10/31/17,13.8,10.6,16.7,9.7,0,7.9,1017.9
11/1/17,16.6,11.1,25.6,0,0,3.2,1011.6
11/2/17,23.8,18.9,29.4,0,0,9,1013.1
11/3/17,26,23.3,31.1,0,0,5.8,1016
11/4/17,24.5,21.7,28.3,0,0,7.2,1014.7
11/5/17,24.7,22.2,31.1,0,0,7.6,1012.9
11/6/17,25,22.2,31.1,0,0,8.3,1014.2
11/7/17,21.1,15.6,26.1,0,0,9.4,1017.5
11/8/17,10.6,7.8,15.6,2,0,11.2,
11/9/17,10.6,7.8,13.9,0,0,6.8,1025.1
11/10/17,14.3,11.1,17.2,0,0,4.7,1023.9
11/11/17,19.1,15,23.9,0,0,5.8,1019.8
11/12/17,20.7,18.3,25.6,1,0,3.6,1021.9
11/13/17,21.2,17.2,25.6,0,0,3.6,1024
11/14/17,21.6,16.7,26.7,0,0,8.6,1019.2
11/15/17,21.2,20,22.8,0,0,4.7,1015.8
11/16/17,22.4,17.8,28.3,0,0,4.7,1017
11/17/17,24,21.1,29.4,0,0,11.5,1013
11/18/17,21.8,12.2,28.9,0,0,15.1,1014.1
11/19/17,12.4,6.1,18.3,0,0,5,1026.2
11/20/17,12.1,4.4,20.6,0,0,3.6,1020.4
11/21/17,16.4,10.6,24.4,0,0,7.2,1013.5
11/22/17,13.6,6.1,18.9,0,0,11.2,1025
11/23/17,11.9,3.3,22.2,0,0,1.8,1021.7
11/24/17,15,5.6,25,0,0,4,1014.4
11/25/17,17.8,9.4,27.2,0,0,4.7,1014.5
